desc,likesCount,commentCount,viewCount,support
she had the right idea #biden2020 #bidenharris2020 #trump #fyp,1200000,10300,4400000,1
#trumptrain2020 #nctrump #trumptruck #trumpnation2020 #redkingdomtrump2020,133300,3683,2000000,0
here’s how we replaced our stolen and slashed #bidensigns  #biden2020 #bidenharris2020,1200000,14600,4700000,1
weeerk the polls @kellkline #biden2020 #votehimout #bidenharris2020 #votenyc #2020election,1200000,3761,4900000,1
it’s easier than it looks #unitedstates #trumpsquad2020 #trumptrain2020 #trumptrain #police #policebrutally #blm #policebrutalitymuststop #foryoupage,128700,4127,422000,0
#trump2020 #womenfortrump #trumptrain2020,119200,5651,560800,0
#bidenharris2020 #dumptrump2020 #vote #election2020 @victoriahammett tik tok keeps taking it down 😡 #voteblue2020 #biden2020 #trump2020,1100000,23300,4100000,1
i was driving home and saw him. #biden2020 #biden #bidencoalition #bidenharris2020 #election,1100000,39400,6300000,1
#doitbold #trumpismypresident #amish #horseandbuggy #amishfortrump #punxsy #foryoupage #sharethis #republican #trumptrain #trumptrain2020,117900,2758,637900,0
#duet with @themikelcrump get on board #trumptrain2020 #maga🇺🇸🇺🇸🇺🇸🇺🇸,107600,2478,840900,0
#greenscreen not karlie kloss voting against her family. this tea is hot. #voteblue #karliekloss #bidenharris2020 #kaylor #fdt,935900,7398,4400000,1
“biden’s gonna raise our taxes!” .. uhh no lol that’ll actually be t***p 👀 #motivationmonday #taxplan #trumploses2020 #bidenharris2020 #fyp #fanedit,913100,13700,4400000,1
thankyou for 1k #trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,105800,385,491600,0
#trumpsquad2020 #foryoupageofficiall #commenttrump #votefortrump #10kfollowers #trumptrain2020,101900,2324,475500,0
kamala!!!!!! #biden2020 #bidenharris2020 #kamalaharris #blackgirlmagic #blackwomen,879600,18000,2800000,1
i look like sh!t but this was so funny lmao #holidaycrafts  #trumptrain2020 #maga #republican #colorcustomizer #trumptrain #upthebeat #trump,98900,1896,385400,0
this tweet wins everything. everything. #fyp #election2020 #bidenharris2020 #joebiden #election #homeoffice #unwrapthedeals,865600,12100,4000000,1
cant burn this flag. #trump2020 #fyp #4moreyears #alm #trumpsquad2020 #trumptrain2020 #trump4ever,97800,2685,398600,0
yesterday was a happy day in nyc. 💙  #biden2020 #newyorkcity #newyork #nyc #biden #bidenharris2020,856700,13100,3600000,1
fl #villages #biden2020 #bidencoalition #biden #vpdebate #vp #bidenharris2020 @bidencoalition @liberalcorner,816500,19600,3700000,1
#duet with @cassiemullis #trump2020 #trumptrain2020 #republican #republicanconservative #conservativehypehouse #foryou #fyp,96100,977,532800,0
#vote #dog #biden2020 #trump2020 #maga #blm #alm #biden #bidenharris2020 #affirmations #politics #controversial #fyp,754000,11000,3400000,1
maga supporters unite ❤️💙 #fyp #familythings #trump2020 #trump #trumptrain2020 #maga #kag #republican #gop #biden2020 #momsoftiktok #vote,94000,3169,761600,0
#kamalaharris #bidenharris2020 #trump #kamalaharrisvp2020 #fyp #foryoupage,739300,0,7600000,1
gonna lose some followers for this one😊#trumptrain2020 #trump2020 #republican #fyp #foryoupage #prolife #backtheblue #bekind,93700,3698,447200,0
#trump2020 #maga #creepyunclejoebiden #trumptrain2020 #duetme,88600,1472,693600,0
#mvpharris got jokes 🤣🤣 #kamalaharris #khive #pencefly #bidenharris2020 #vpdebate,737500,9832,3600000,1
trump train🚂🇺🇸 #diesel #strokinandsmokin #trump2020 #trumptrain2020 #smokingisbadforyou,87700,2241,490600,0
"not taking any chances, i’d rather burn. || #fdonaldtrump #bidenharris2020 #fortuneteller #studentlife #schoolpov",707300,7802,2300000,1
democrats. #micellarrewind #meleaving #halloweenishere #trumptrain2020 #trump #fyp,87500,4865,1000000,0
ily bernie 🥺💙 #biden2020 #bidenharris2020 #bernie #voteblue,705900,11700,2500000,1
wait for scarlett's answer 💀#votersassemble #bidenharris2020 #avengers #blackwidow #fyp #chrisevans,703200,5304,4900000,1
#iwannakeephim #trump2020 #conservatives #election #wah #trumptrain2020 #crying #fyp #foryourpage,86200,1998,459400,0
#fyp #foryou #election #bidenharris2020,699400,4009,2900000,1
#kayleighmcenany corrects #fakenews #trump #presssecretary #newsbreakingalert #trump2020 #trumptrain2020 #kag #maga #fyp #foryourpage,84000,1712,481600,0
reply to @pomegranate_tea97 the girl at the end😩😩😩😩 #trump #trumptrain2020 #republican #bagelbopscontest #holidaymusic #maga,78200,3054,363300,0
another trump tweet! #fyp #foryou #foryoupage #history #trump #bidenharris2020,688800,17900,3500000,1
love her the most 🥰 #aoc #footlongshuffle #ghostmode #fyp #alexandriaocasiocortez  #biden2020 #bidenharris2020 #aoc2024,679500,3079,3300000,1
reply to @jasmine.perrez #greenscreenvideo #trump2020 #republican #trumptrain2020 #prolife,77500,1997,505400,0
#trumpsquad2020 #funnytrumpvideo #maga #fyp #conservativehypehouse #trump #trumptrain2020 #fyp #,76400,1556,366000,0
#vpdebate #bidenharris2020,638400,4144,3900000,1
thanks for 6k #trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,75700,788,339900,0
#kamala #kamalaharris #reproductiverights #womenshealth #bidenharris2020,637200,9063,4700000,1
#trumptrain2020 #mypresident #america #realshit,75400,1684,848200,0
christopher titus speaks #bidenharris2020 #voteblue #voteearly #obama #fyp #foryou #misinformationkills #equalityforall #lgbtq #stopthehate,626200,14100,2700000,1
rest in peace beau💙 #bidenharris2020,616800,9524,1800000,1
trump🚂🚂🚂@garrett_doestiktok #trump #trump2020 #trumptrain2020,75400,3677,295500,0
the good old days #donaldtrump #trumptrain2020 #maga #kag #murica #2ndadmendment #billofrights #foryourpage #trump2020,73900,830,348700,0
part 1 lmfao #nofnway #blm #byedon2020 #bidenharris2020,616200,6587,1900000,1
#trump2020  #trump #trumpsquad2020 #trumptrain2020 #maga #halloween #biden #potus2020,72900,3335,1600000,0
🌈the jobs president💙 #vote #voteblue #settleforbiden #dumptrump #economy #fyp #maga #trump #bidenharris2020,611000,13900,1800000,1
i'm proud to say i am native american and apart of the ojibwe tribe. 😊❤️ #trump2020 #nativeamerican #trumptrain2020 #ojibwepride #nativesfortrump,70700,5909,552900,0
hope i convinced you there a bunch of more stuff i can make but that’s what just came to my mind🇺🇸💙#biden2020#bidenharris2020 #bidenharris,604400,38100,2700000,1
don’t worry buddy that’s why i’m here! #bullcalf#showsteer#trumptrain2020 #mlc#mattlautner#fypage,70200,389,1300000,0
"🗣🗣 history has been made, ladies and gentlemen. @awesome_ans @monaswain #fyp #foryoupage #bidenharris2020",591800,0,1700000,1
"our president elect, ladies and gentlemen #bidenharris2020 #technology",585500,3608,2200000,1
just fax #murica #kag #2ndadmendment #billofrights #foryourpage #fakeimpeachment #trump2020 #trumptrain2020 #maga #donaldtrump #acquitted,69100,871,306600,0
"chilleeee anyway, vote blue #foryou #xyzbca #biden2020 #bidenharris2020 #foryoupage #florida #texas #fyp #foryoupage",579800,16500,1900000,1
plzz no burning like i wanna just party#expressieyourself #trump2020 #biden2020 #settleforbiden #trumpsupporters #trumptrain2020 #fyp #trumpsquad2020,68800,2673,379100,0
i never do these but this looked fun lol the amount of times i’ve scream cried this song is unreal #cashappinbio #cheat #trumptrain2020 #cheater #maga,68500,1656,741400,0
#greenscreen 8 days till election day hell yeah 😂 #biden2020 #bidenharris2020,573300,48400,4300000,1
removed for content violation! reposting #bidenharris2020 #voteearly #misinformationkills #voteblue #fyp #foryou,566500,11400,3700000,1
#trump #trumptrain2020 #trumptrain #vote,68500,1362,452100,0
🤡🤡  #trumpsquad2020 #trump2020 #trumpsnotracist #trumptrain2020,67900,6890,524400,0
dripping 💧                                                   #kamala #kamalaharris #kamalaharris2020 #bidenharris2020 #vote #fyp #fypシ,538500,0,4900000,1
sad times lol that one girl was so mean): #ootd #catchphrases #trump #trump2020 #trumptrain2020 #maga #trump2020 #cancelthenoise #republican #election,67500,756,252300,0
we won america!!! 💙💙#biden2020 #bidenharris2020 #election #joebiden #kamalaharris #donaldtrump #greenscreen #greenscreenvideo,538100,10400,2700000,1
a fine display of tds at the trump parade today! 🤷🏼‍♀️😂 #tds #trumpderangementsyndrome #trump2020 #unhinged #whysomad #trumptrain2020,66800,3445,544700,0
biden harris 2020!!!! #fyp #foryou #bidenharris2020 #putonamask #votejoe,534100,29200,2400000,1
#dumptrump #votehimout #bidenharris2020 #blm #fyp #politics,529300,7405,2200000,1
#trumptrain #trumptrain2020 #fourthofjuly #independenceday #american #unitedstates #foryoupage,66600,1787,829900,0
"parody of an actual, serious post i saw 😂 🤦🏼‍♀️ #biden2020 #bidenharris2020 #dumptrump #lgbtq #blm #feminist",516600,6482,1500000,1
#trump2020 #july4 #nashville2020 #sooverthisshit #mylifematters #trumptrain2020,66600,1141,258300,0
#meleaving #dualipa #challenge #biden2020 #bidenharris2020 #voteblue #dumptrump2020 #vote #gotv #fyp,514500,8160,1800000,1
🙄 #2020elections#trump2020#unfair#notright#unwrapthedeals#homeoffice #trumptrain2020,66400,2008,302300,0
liberal ball tosser 💪🏻😎🇺🇸kag #trump2020 #trumptrain2020 #kag,64900,881,312700,0
@tiktokforbiden #vote  #biden2020 #bidenharris2020  #gotv  #princessbride  #banjobeat  #challenge  #createtheoutcome #tiktokforbiden,508800,8687,2000000,1
#votehimout #bidenharris2020 #fucktrump,495900,8833,2400000,1
#greenscreen #trump2020 #trumptrain2020 #foryoupage that’s what i thought you said.....,64700,7028,532400,0
#patriotic #merica #trump2020 #trumprally #trumptrain #trumptrain2020 #maga #makeamericagreatagain,62800,2708,339300,0
election coming 🤡#votetiktok #trump #trump2020 #republican #biden #biden2020 #bidenharris2020 #funny #funnyvideos #kamalaharris #foryou #foryoupage,485200,3997,1900000,1
#trumpsquad2020 #biden2020 #latinosfortrump #trumptrain2020 #dobbie #minidoberman #familypooch,60500,1246,312100,0
like that wasnt even relevant #biden #biden2020 #leftists #bidenharris2020 #joebiden #alt,482200,8032,1900000,1
is pete buttigieg the dems new rhetorical enforcer? #biden #joebiden #bidenharris2020 #kamalaharris #trump #donaldtrump #election #election2020 #vote,477000,5294,2700000,1
the brainless trio. #nancypelosi #joebiden #aoc #libtartds #trump2020 #trumptrain2020 #4moreyears,60500,1883,301000,0
#trump2020 #biden #trumpsquad2020 #trumptrain2020 #foryoupage #foryou #usa #america,59000,1138,313400,0
#biden2020landslide #biden2020 #lesbiansover30  #harris2020 #bidenharris2020,474700,9350,1900000,1
👯‍♂️ #obama #biden2020 #bidenharris2020 #bidencoalition #voteblue #vote #fyp,473200,8356,1400000,1
#trump #follow #like #kag #maga #trump2020 #trumptrain2020 #trumptrain #foryou #f #u #p #fypシ #beatsdaisychallenge #fashionedit #vibezone #biden2020,58800,991,355200,0
#trumpsquad2020 #trumptrain2020 #maga #fypシ #trump2024ever #funnytrumpvideo,57900,4394,503600,0
we are counting on you omaha! #biden2020 #bidenharris2020 #ne2 #omaha #omahanebraska #vote #election #election2020 #nevertrump #fyp #fypシ #2020 #biden,466400,11000,2400000,1
#trumptrain2020 #trumptrain #saveamerica #patriots #patriot #saveourchildren #lockedandloaded #donaldtrump2020 #imallin #saytheword #q,57800,1904,402000,0
#2020election #pennsylvania #philadelphia #bidenharris2020 #fyp,461600,7269,1700000,1
#greenscreen #12moreyears #trumpfyp #conservative #trump2020🇺🇸 #alllivesmatter #trumptrain2020 #alm #trumpisgoingtowin #welovetrump #trumpsupporter,57700,2310,239300,0
greeting parkland families. #joebiden #biden #bluewave #humanity #biden2020 #bidenharris2020 #kamala #parkland #settleforbiden #bidencoalition #vote,461500,0,1700000,1
the vibes at #timessquare last night were ✨immaculate✨ #nyc #election #biden2020 #bidenharris2020 #neonshadow #myhobby #,460200,4900,1700000,1
trump is a leader. #republican #trump2020 #trumptrain2020 #trumpsquad #biden2020 #liberal #conservative #leadership #mypresident #4moreyears,56400,3848,332000,0
#farmersfortrump #maga2020 #trump2020 #trumptrain2020 #donaldjtrumpofficial #midlothiantexas #texas #erictrump #redwhiteandblue #fyp,55500,1869,298900,0
humble beginnings and horrible heartbreak pt 1 #democrathypehouse #fdt #biden2020 #bidenharris2020 #bidencoalition #voteblue #tokthevote #foryoupage,459700,3097,1800000,1
jeep flag holder #jeeplife #jeepersfortrump  #maga2020 #trump2020 #louisianafortrump #littlefootlouisiana #myjeep #trumptrain2020,55500,314,372100,0
"if you’re pro-life, trump is not the candidate for you. #biden2020 #bidenharris2020 #bluewave #bidencoalition #genzforbiden",459200,2634,1600000,1
#trumptrain2020 #womenfortrump #trump2020 #republicangirl #republican #creepyunclejoe #joesniffskids #conservative #voteredtosaveamerica #libtards,54700,2289,255200,0
the country is turning red!!!! #fyp #foryou #foryoupage #trump #covid #bidenharris2020,456600,11900,1300000,1
#trump #trump2020 #trumptrain2020 #conservitve #playwithlife #makeuphacks #normalpeople #chilisbirthday #fyp #foryourpage,54300,0,328800,0
💙💙 #fyp #foryou #foryoupage #neonshadow #myhobby #biden2020 #biden #bidenharris2020,455600,10000,1600000,1
like bro huh #trump2020 #biden2020 #fyp #settleforbiden #trumpsupporters #trumptrain2020 #trump #trumpsquad2020 #michigan,53300,2901,342300,0
#greenscreen  bruh what the fawk #bidenharris2020 #dumptrump2020 #biden2020 #biden,454600,5483,2100000,1
#colorcustomizer #greenscreen king energy #fyp #bertram #bidenharris2020,447900,6695,1300000,1
#trumptrain2020 #4moreyearstrump #repost #thedon #maga #votered #redkingdomtrump2020,52600,0,235400,0
#duet with @craiglong45 #votered #trumptrain2020 #maga #kag👊🇺🇸🇺🇸🇺🇸🇺🇸🙏,52400,518,253200,0
this is only the first night of this i can’t even 🤭 #greenscreenvideo #bidenharris2020 #trumpforprison2020 #wtf #stop,421600,7959,1900000,1
#fyp #momsoftiktok #trumptrain2020 #foryoupage,52300,177,323300,0
#greenscreensticker #greenscreen #bidenharris2020 #biden2020 #dumptrump,420800,5727,1800000,1
#toosieslide #freezeframe #levelup #2ndamendment #trumptrain2020 #trump2020,51500,334,448900,0
#fallfashion  #unwrapthedeals  #bidenharris2020  #dumptrump #blacklivesmatter  #equalityforall,414200,10100,1100000,1
2016 election 🗳 #hillaryclinton #tump2020 #maga #trumptrain2020,50000,893,573400,0
love always wins!! #zvilley2023 #dumptrump2020 #philly #bidenharris2020 #election2020 #foryoupage #joebiden #kamalaharris #foryourpage #pa #bluewave,409500,4355,1600000,1
like father like daughter 🥰 #fyp #trumptrain2020 #nosocialismformethanks,49700,1893,275800,0
every night with the zingers! 😭😂🤣 #msnbc #brianwilliams #hilarious #trump #pence #trumppence2020 #bidenwon #bidenharris2020 #newpresident #fyp,407300,6569,2400000,1
@caeoken pennsylvania and nevada entering the chat #bidenharris2020,390000,3718,1500000,1
#trump2020 #trumptrain #trumptrain2020 #trumpsquad #savagetrump,49700,631,336500,0
i’m waiting for a biden flag to go up to see how long before they tell them to take it down. #trump2020 #trumptrain2020 #republicanhypehouse #q,49600,843,421200,0
this audio has killed me #fy #fyp #foryou #foryoupage #biden2020 #bidenharris2020 #trump2020 #voteblue #votehimout,384100,5320,1400000,1
🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️ #davechapelle #covid19time #biden2020 #dumptrump2020 #bidenharris2020 #kamalaharris2020,384000,1214,2300000,1
#trump2020 #letsdothis #trumptrain2020 #fyp #kag #maga #makemcryagain,49400,824,280400,0
back the blue and red army baby #bluelivesmatter #trump2020 #trumptrain2020 #fyp #foryou #canam #tooted #smokedbelt,49300,893,289100,0
biden harris 2020🇺🇸 #hamilton #hamiltonmusical #biden2020 #bidenharris2020 #election #america #nyc #washingtonsquarepark,382100,3451,928600,1
simple. #biden #biden2020 #2020election  #bidenharris2020,381700,7288,1500000,1
reply to @airsoft45 even when the republicans thought i supported biden they were respectful #maga #trumptrain2020 #keepamericagreat #trumptok #trump,47900,435,187900,0
#trump #republican #trump2020 #trumptrain2020  #lovethis #lovetrump #fyp #yass,47300,432,2400000,0
these videos are comedy gold lol #fyp #foryou #foryoupage #viral #biden #biden2020 #bidenharris2020 #tiktokforbiden,381500,2566,1100000,1
#liberaltears #intolerantleft #maga #trumpsquad2020 #maga #trumpsupporters #countrygirl #trumptrain2020,45100,1128,202700,0
shout out to my girl karma #fyp #election #bidenharris2020,381400,2510,1400000,1
why is this so relatable #voteblue #bidenharris2020 #progressive #left #votehimout #tiktokforbiden,377100,2648,2800000,1
hahah true story. #trump2020 #trumptrain2020 #womenfortrump #fyp #womenpower #foryoupage #babygirl #trumptrain2020,44600,2457,167500,0
😳😳😳 #dumptump #bidenharris2020 #delorisumbridge #ministryofmagic,375200,4988,1300000,1
since it’s election day 🤷‍♂️ should i finish it and record it? #fyp #foryou #electionday2020 #trump #trumptrain2020 #bringonthekarens,44300,1763,319600,0
#trump #trump2020 #trumptra#trumptrain2020,44200,871,476300,0
they called us cry babies in 2016 #sorelosers #trump #bidenharris2020 #election #cuomo #cnn #byedon #presidentbiden #fyp #foryou,374500,5900,1600000,1
"i’ll let y’all hear one more verse before i release it, just because of chad 🤷‍♂️ #trump #trumptrain2020 #foryou #fyp #duet #fuggum",43900,1376,325800,0
its a beautiful day today in los angeles #bidenharris2020,371100,4920,1200000,1
#stitch with @rosie_bad_asf20 well this is awkward 😳  #giftofgame #happyholidays #trump2020 #conservative #trumptrain2020 #biden2020 #fyp #awkward,43600,2464,215100,0
the despicable donald trump! #fyp #foryou #foryoupage #votehimout #trumpsupporter #voteblute #bidenharris2020 #donaldtrump,370900,25200,1400000,1
#trump #trump2020 #trumpsquad2020 #trumptrain2020 #trumptrain #fyp #fypシ #foryou #foryoupage,43200,12,277500,0
you sure? 😏 #joebiden #biden2020 #voteblue #bidenharris2020 #ctcvoicebox #dayinmylife #oikosonetrip #foryou,369400,28800,1500000,1
love that dress 🤣😅😂 #vote #voteblue #votetiktok #biden2020 #voteblue2020 #kamalaharris #bidenharris2020 #liberalhypehouse #foryou #foryouu,369300,4667,5000000,1
#trump2020 #trumpsnotracist #trump2020train #trumptrain2020 #trump #trumptrain #trumpsquad2020 #votefortrump #keepamericagreat #america,43000,2371,256600,0
#dumptrump2020 #votehimout2020 #bidenharris2020 #fyp #foryourpage #momsoftiktok #momsoftiktokover40,368600,41200,3100000,1
"trump train 2020! -laredo, tx! #trumptrain2020 #trumptrain #donaldtrump #trumpsquad2020 #trump2020 #trumptraindontstop #fyp #donaldtrump2020",42000,1355,389500,0
"rest in power to my hero, the notorious, ruth bader ginsburg💙 i know we made her proud🇺🇸 #bidenharris2020 #rbg #neonshadow #myhobby",365500,4202,1100000,1
#trump#trump2020 #trumptrain #trumptrain2020 #republican #fyp#foryoupage #xyzabc,41600,3950,836300,0
everyone hype up your republican grandparents and make them think like mine. #biden2020 #berniesanders #kamalaharris #bidenharris2020,365400,3310,1400000,1
#trump #trump2020 #trumptrain #trumptrain2020 #trumpismypresident #momsoftiktok #momsover30 #arizona #arizonamomma #fyp #foryoupage,41500,607,125400,0
#duet with @conservativehypehouse #realfactsrealtalk #maga #kag #trumptrain2020 #blackconservatives🇺🇸🇺🇸🇺🇸,40800,833,271700,0
they say anything at this point 😂 #foryoupage #biden2020 #trump2020 #election #president #makemefamous #foryou #fyp #bidenharris2020 #trump,353700,13200,2800000,1
"protect and serve, huh?  #acab #1312 #cops #settlement #blm #blmmovement #fdt #dumptrump #facts #byedon2020 #bidenharris2020",349700,3909,1500000,1
thanks to my one thousandth follower @nataliawillis86 go follower her #trump2020 #trumptrain2020 #trumptrain,39500,918,267100,0
#donaldtrump finding out #joebiden won 😅🇺🇸🗳 #election #election2020 #bidenharris2020 #trump #presidentbiden #electionresults #meangirls #fyp,343900,5722,1800000,1
#greenscreen #trunp2020 #maga #trumptrain2020 #makeamericagreatagain  #fyp,39300,1831,230000,0
#bidenharris2020 #democrat #biden2020 #democratsoftiktok #germfree,343500,9442,2900000,1
i think i made my point... @reel_psycho #blackguysoftiktok #gimmelove #truthhurts #trumptrain2020 #alllives #blowthisup,37700,1682,192700,0
#election#bidenharris2020#states,342700,3403,1300000,1
who does sleepy joe got besides cardi b? 💀 #trump2020 #fyp #trumptrain #fyp #foryoupage #50cent #lilpump #nelk #trumptrain2020,37400,1193,205100,0
they need to play this at the inauguration 😂💯 #bidenharris2020 #foryou #fyp #xyzbca,338600,6467,1800000,1
"reply to @q_umar you look ignorant and foolish, come at me again #trump2020 #trumptrain2020 #hateallyouwant",37300,1855,264500,0
#voiceactor #junkoenoshima #danganronpa #bidenharris2020  #tremblechallenge,337900,7292,1100000,1
who will be our 2020 president? #voter #ivoted #trump2020🇺🇸 #trumptrain2020 #fyp,37000,2906,507700,0
#biden2020 #trump2020  #walkawaymovement  #lexit  #lgbtfortrump  #fyp  #trumptrain2020  #newmexit  #trump2024  #kayleighmcenany #trump2024ever,36800,610,320400,0
3:30 an update !!!! #president #election #biden2020 #trump2020 #bidenharris2020,333200,10800,1300000,1
#trumptrain2020 #trump,36800,132,314100,0
i just cannot post my regular content today. i’ve dealt with men like trump my entire life. enough. #votehimout #bidenharris2020,328900,3632,1100000,1
#merrychristmas2020 #trump #fypシ #conservativehypehouse #trumptrain2020,36800,2638,156700,0
#fthegop #covidtiktokers #trumphastogo #bidenharris2020 #covid2020 #votehimout #votebluetoendthisnightmare,325400,3586,2000000,1
"the media wants gays to hate trump. we’re gay, not stupid #trump2020 #gaysfortrump #trumptrain #trumptrain2020 #trumpsquad2020 #trumpsnotracist #trump",36500,1378,175400,0
#wedidit #bidenharris2020 #blackwomenappreciation #thankyoujesus #noracistsallowed,321500,10400,1500000,1
😜😂 #thedonaldtrump  #maga2020  #godblessamerica  #donaldtrump2020  #ilovedonaldtrump #trumptrain2020 #fyp #conservativehypehouse #patriotism #fypg,36400,668,174400,0
and that’s on living with parents who are republicans #bidenharris2020 #fyp,314100,1873,1200000,1
#greenscreen #womenfortrump2020 #trumpsquad2020 #trumptrain2020,35100,1348,206000,0
🇺🇸🏳️‍🌈🇺🇸🏳️‍🌈🇺🇸🏳️‍🌈🇺🇸🏳️‍🌈 #biden2020 #bidenharris2020,313700,2571,815600,1
#stitch with @roccoggeorge #doitbold #spookytreats #dialitforward #maga #trump2020🇺🇸 #trumptrain2020 #fyp #foryoupage #foryou #trumpforpresident2020,35000,977,866400,0
this was fun. 🐸☕️ #trump2020 #kamalaharris #bidenharris2020 #election2020 #justwow #fyp @tdmonti this is her sound!,313400,2204,1700000,1
#trumptrain2020 #politics #trumprally #fyp #justforfun #train #senate #dallas don’t jus don’t get offended. no i don’t know who sells the shirts. 🇺🇸,34700,807,627300,0
#fyp #alltheway #bidenharris2020 #trump2020 #alltheway #novemberslam,311200,32200,1700000,1
and i stand by that. nothing can stop what’s coming. nothing. #vibezone #trumptrain2020 #donaldtrump #conservativehypehouse #wwg1wga #greatawakening,34500,2864,509600,0
#westhollywood #elections2020🇺🇸 #biden2020 #fyp #losangeles #bidenharris2020 #weho,310500,4547,1600000,1
making of an one of the best advertisments ever!!!  #trump2020  #trumptrain2020,34200,676,235300,0
💙 dr. jill biden appreciation post 💙 #jillbiden #bidenharris2020 #voteblue #8645 #fdt #tokthevote #bidencoalition #fyp,308200,2588,1200000,1
#grandma #grandmasoftiktok #fyp #tiktok #grandma2020 #maga #biden #magaa #harris #bidenharris #happyhalloween #ohno #trump #trumptrain #trumptrain2020,33800,866,187000,0
it had to be done #biden2020 #bidenharris2020  #madeyoulook #blacklivesmatter  #blm #dumptrump #masa #fyp #tooeasy #liberal #voteblue2020,305600,11300,1300000,1
getting better #unitedstates  #proudamerican #happyholidays #trumptrain #trumptrain2020 #blexit #backtheblue #bluelivesmatter #foryourpage #foru #fypp,33700,2765,422400,0
#election2020 #bidenharris2020 #presidentbiden #vicepresidentharris #byeden #progress #lgbtq #rights #fyp #firsts #myhobby #neonshadow #edgar #az,304100,1898,1100000,1
so true mostly#blackconservitive#lookalikeedit#trumptrain2020#fyp#trumpsquad2020#conservativehypehouse#freedomhouseusa,33500,447,114300,0
#duet with @typical_democrat please vote blue￼#bidenharris2020,300700,1638,1200000,1
#duet with @kypaht #trumpsquad2020 #trumptrainforever #trumptrain2020 #trump #fyp #fypシ,32700,1168,163500,0
